282-,-,-,-,-,-
-0.449863,0.005759,0.058307,0.002004,-0.016733,0.038951
-0.428167,0.000085,0.065510,0.001998,-0.013818,0.046013
-0.406662,-0.004924,0.070466,0.002839,-0.010940,0.052355
-0.385530,-0.009508,0.072751,0.004365,-0.008751,0.057722
-0.364859,-0.013395,0.072526,0.006226,-0.007740,0.061989
-0.344380,-0.016028,0.070464,0.008070,-0.008138,0.065135
-0.323490,-0.017050,0.067716,0.009706,-0.009865,0.067196
-0.301754,-0.016732,0.065679,0.011153,-0.012518,0.068285
-0.279378,-0.016139,0.065131,0.012509,-0.015430,0.068665
-0.256849,-0.016211,0.065723,0.013760,-0.017829,0.068705
-0.233999,-0.016686,0.066612,0.014744,-0.018941,0.068744
-0.210314,-0.016607,0.067116,0.015332,-0.018211,0.068959
-0.186365,-0.015536,0.066928,0.015506,-0.015556,0.069337
-0.163913,-0.013843,0.066031,0.015270,-0.011313,0.069751
-0.144722,-0.012151,0.064402,0.014562,-0.006076,0.070026
-0.129696,-0.010708,0.061918,0.013297,-0.000581,0.069957
-0.118573,-0.008999,0.058631,0.011525,0.004397,0.069335
-0.110156,-0.005989,0.054876,0.009526,0.008177,0.067980
-0.102956,-0.001091,0.051054,0.007727,0.010330,0.065752
-0.095823,0.005212,0.047469,0.006531,0.010745,0.062541
-0.088211,0.011767,0.044369,0.006137,0.009609,0.058305
-0.080077,0.017488,0.042088,0.006463,0.007337,0.053127
-0.071689,0.021788,0.040968,0.007215,0.004492,0.047235
-0.063443,0.024676,0.041059,0.008035,0.001679,0.040948
-0.055781,0.026657,0.041999,0.008653,-0.000585,0.034578
-,-,-,-,-,-
-0.000661,0.000677,0.000799,0.000157,0.000014,0.000187
-0.003788,0.003883,0.004619,0.000905,0.000107,0.001037
-0.010447,0.010719,0.012814,0.002491,0.000436,0.002675
-0.019275,0.019818,0.023650,0.004565,0.001210,0.004409
-0.027733,0.028709,0.033694,0.006490,0.002516,0.005282
-0.033817,0.035576,0.040104,0.007804,0.004187,0.004678
-0.036652,0.039673,0.041715,0.008346,0.005819,0.002376
-0.036537,0.041202,0.039113,0.008182,0.006920,-0.001588
-0.034770,0.040979,0.033991,0.007465,0.007161,-0.007013
-0.033257,0.039970,0.028290,0.006337,0.006539,-0.013567
-0.033979,0.038872,0.023488,0.004912,0.005325,-0.020838
-0.038583,0.037961,0.020198,0.003307,0.003915,-0.028392
-0.047984,0.037180,0.018272,0.001656,0.002644,-0.035826
-0.062101,0.036297,0.017266,0.000105,0.001682,-0.042784
-0.079977,0.035090,0.016808,-0.001246,0.001083,-0.048963
-0.100469,0.033425,0.016680,-0.002398,0.000913,-0.054129
-0.122632,0.031227,0.016784,-0.003454,0.001287,-0.058146
-0.145204,0.028531,0.016996,-0.004567,0.002237,-0.060984
-0.166701,0.025458,0.017112,-0.005876,0.003568,-0.062778
-0.186239,0.022196,0.017118,-0.007462,0.004871,-0.063879
-0.203808,0.019048,0.017432,-0.009312,0.005669,-0.064750
-0.219844,0.016358,0.018750,-0.011323,0.005657,-0.065731
-0.234684,0.014295,0.021609,-0.013313,0.004837,-0.066896
-0.248396,0.012698,0.026071,-0.015065,0.003474,-0.068114
-0.260906,0.011244,0.031871,-0.016368,0.001973,-0.069166
-0.272467,0.009780,0.038627,-0.017080,0.000807,-0.069812
-0.284050,0.008316,0.045779,-0.017164,0.000462,-0.069798
-0.296974,0.006813,0.052487,-0.016685,0.001302,-0.068909
-0.312123,0.005345,0.058077,-0.015771,0.003423,-0.067020
-0.329695,0.003944,0.062367,-0.014519,0.006554,-0.064168
-0.350000,0.002129,0.064486,-0.013107,0.010058,-0.060493
-0.373515,0.000129,0.062829,-0.012016,0.013113,-0.056176
-0.399295,0.000053,0.057444,-0.011745,0.014999,-0.051549
-0.424916,0.004269,0.050713,-0.012252,0.015310,-0.047077
-0.448444,0.013093,0.045384,-0.012883,0.014050,-0.043119
-0.469423,0.024346,0.042819,-0.012805,0.011585,-0.039756
-0.488476,0.034864,0.042658,-0.011561,0.008473,-0.036757
-0.506599,0.042553,0.043526,-0.009331,0.005284,-0.033630
-0.524391,0.047192,0.044088,-0.006699,0.002438,-0.029761
-0.541353,0.049859,0.043804,-0.004210,0.000158,-0.024597
-0.555073,0.051666,0.042881,-0.002086,-0.001525,-0.018009
-0.561848,0.052639,0.041714,-0.000225,-0.002761,-0.010494
-0.559857,0.051887,0.040684,0.001498,-0.003793,-0.002794
